50,traincgb,0.5,52.3414071510957
50,traincgb,0.1,52.1107266435986
50,traincgb,0.01,51.603229527105
50,traincgb,0.001,52.7335640138408
50,trainscg,0.5,55.1557093425606
50,trainscg,0.1,55.040369088812
50,trainscg,0.01,55.3171856978085
50,trainscg,0.001,55.040369088812
200,traincgb,0.5,58.4083044982699
200,traincgb,0.1,57.6701268742791
200,traincgb,0.01,58.477508650519
200,traincgb,0.001,57.116493656286
200,trainscg,0.5,58.1314878892734
200,trainscg,0.1,57.9930795847751
200,trainscg,0.01,56.1476355247982
200,trainscg,0.001,57.0472895040369
500,traincgb,0.5,57.277970011534
500,traincgb,0.1,57.8777393310265
500,traincgb,0.01,57.0242214532872
500,traincgb,0.001,57.3933102652826
500,trainscg,0.5,56.9088811995386
500,trainscg,0.1,55.2941176470588
500,trainscg,0.01,56.7935409457901
500,trainscg,0.001,55.8246828143022
